ENS_ID	AM_lambda	PAI_lambda	REVEL_lambda	Lof_lambda	syn_lambda	missense_lambda	AM_y	REVEL_y	PAI_y	Lof_varN	syn_varN	missense_positions	Gene_Name	missense_MTs	missense_MTs_by_pos
ENSG00000103024	4.2214801806603465e-05	4.2214801806603465e-05	4.267371172313906e-05	4.573028390068711e-06	2.154599914551604e-05	4.267371172313906e-05	NA	NA	NA	NA	NA	NA	NME3	NA	NA
ENSG00000175984	0.0002170228743518	0.0001995860831651	0.0002174755345224	2.1874557218055213e-05	6.821017365456157e-05	0.0002174755345224	NA	NA	NA	NA	NA	NA	DENND2C	NA	NA
ENSG00000180758	0.0001040337174115	0.0001040337174115	0.0001128021109724	4.586420702808081e-06	4.603027170604874e-05	0.0001128021109724	NA	NA	NA	NA	NA	NA	GPR157	NA	NA
ENSG00000256980	3.951892925216932e-05	3.951892925216932e-05	4.795162217372315e-05	1.6494865190651976e-06	1.090669949493936e-05	4.795162217372315e-05	NA	NA	NA	NA	NA	NA	KHDC1L	NA	NA
ENSG00000071282	0.0001200178890763	0.0001200178890763	0.0001317794645345	1.0693761722383447e-05	4.692487819703837e-05	0.0001317794645345	NA	NA	NA	NA	NA	NA	LMCD1	NA	NA
ENSG00000197893	0.0004445221085492	0.0004445221085492	0.0004487170273096	4.299066312463745e-05	0.0001760066845354	0.0004487170273096	NA	NA	NA	NA	NA	NA	NRAP	NA	NA
ENSG00000179468	6.955967236826506e-05	6.955967236826506e-05	6.97855560431357e-05	3.830201443458565e-06	2.508960509635224e-05	6.97855560431357e-05	NA	NA	NA	NA	NA	NA	OR9A2	NA	NA
ENSG00000161013	0.0001875763035109	0.0001875763035109	0.0002970638170803	2.1570998129296237e-05	1.1162046257836602e-05	0.0002970638170803	NA	NA	NA	NA	NA	NA	MGAT4B	NA	NA
ENSG00000182473	0.0002231802133389	0.0001960875646672	0.0002305517886811	1.6379691301093444e-05	0.0001052948268611	0.0002305517886811	NA	NA	NA	NA	NA	NA	EXOC7	NA	NA
ENSG00000100567	5.838066251429158e-05	5.838066251429158e-05	5.867931108837944e-05	6.780974350365451e-06	2.057416365106273e-05	5.867931108837944e-05	NA	NA	NA	NA	NA	NA	PSMA3	NA	NA
ENSG00000135932	6.612186568806964e-05	6.612186568806964e-05	6.646024478995096e-05	6.080109983671985e-06	3.044028044615337e-05	6.646024478995096e-05	NA	NA	NA	NA	NA	NA	CAB39	NA	NA
ENSG00000119844	0.0001835037012069	0.0001774628753406	0.0001840853739902	1.336999221813336e-05	6.35224177853587e-05	0.0001840853739902	NA	NA	NA	NA	NA	NA	AFTPH	NA	NA
ENSG00000101126	0.0002522785840486	0.0002522785840486	0.0002529566814836	1.8081854250266843e-05	9.396091258981408e-05	0.0002529566814836	NA	NA	NA	NA	NA	NA	ADNP	NA	NA
ENSG00000171119	6.200239028944075e-05	6.200239028944075e-05	6.223363088940713e-05	1.7985876008968014e-06	2.8543482551834592e-05	6.223363088940713e-05	NA	NA	NA	NA	NA	NA	NRTN	NA	NA
ENSG00000129422	0.0003539043636296	0.0001470002743732	0.0003928184067564	3.038001503882633e-05	0.000133191907118	0.0003928184067564	0.33165	0.27671	NA	0.0	0.0	17754069	MTUS1	0.6085239	0.0002568299999999857
ENSG00000140093	9.90151714176514e-05	9.90151714176514e-05	0.0001076518739032	5.2832673756797285e-06	4.175365983794467e-05	0.0001076518739032	NA	NA	NA	NA	NA	NA	SERPINA10	NA	NA
