ENS_ID	AM_lambda	PAI_lambda	REVEL_lambda	Lof_lambda	syn_lambda	missense_lambda	AM_y	REVEL_y	PAI_y	Lof_varN	syn_varN	missense_positions	Gene_Name	missense_MTs	missense_MTs_by_pos
ENSG00000103024	4.2214801806603465e-05	4.2214801806603465e-05	4.267371172313906e-05	4.573028390068711e-06	2.154599914551604e-05	4.267371172313906e-05	NA	NA	NA	NA	NA	NA	NME3	NA	NA
ENSG00000175984	0.0002170228743518	0.0001995860831651	0.0002174755345224	2.1874557218055213e-05	6.821017365456157e-05	0.0002174755345224	1.7254	1.56541	1.6856	0.0	0.0	114600232,114611088	DENND2C	0.26335841,0.52971991	0.000256590000000001,0.00378721999999998
ENSG00000180758	0.0001040337174115	0.0001040337174115	0.0001128021109724	4.586420702808081e-06	4.603027170604874e-05	0.0001128021109724	NA	NA	NA	NA	NA	NA	GPR157	NA	NA
ENSG00000256980	3.951892925216932e-05	3.951892925216932e-05	4.795162217372315e-05	1.6494865190651976e-06	1.090669949493936e-05	4.795162217372315e-05	NA	NA	NA	NA	NA	NA	KHDC1L	NA	NA
ENSG00000071282	0.0001200178890763	0.0001200178890763	0.0001317794645345	1.0693761722383447e-05	4.692487819703837e-05	0.0001317794645345	0.6225	0.28508	0.53404	0.0	1.0	8537304	LMCD1	0.24171573	0.007743959999999994
ENSG00000197893	0.0004445221085492	0.0004445221085492	0.0004487170273096	4.299066312463745e-05	0.0001760066845354	0.0004487170273096	2.11961	1.67895	1.57722	0.0	1.0	113623551,113646996,113651864	NRAP	0.57904905,0.8482282,0.90426466	0.00020692999999993855,0.0003094000000000152,0.00018703000000008796
ENSG00000179468	6.955967236826506e-05	6.955967236826506e-05	6.97855560431357e-05	3.830201443458565e-06	2.508960509635224e-05	6.97855560431357e-05	NA	NA	NA	NA	NA	NA	OR9A2	NA	NA
ENSG00000161013	0.0001875763035109	0.0001875763035109	0.0002970638170803	2.1570998129296237e-05	1.1162046257836602e-05	0.0002970638170803	0.88843	1.16172	1.32419	0.0	0.0	179798962,179801438	MGAT4B	0.21891803,0.70068225	0.004149080000000027,0.002831169999999994
ENSG00000182473	0.0002231802133389	0.0001960875646672	0.0002305517886811	1.6379691301093444e-05	0.0001052948268611	0.0002305517886811	NA	NA	NA	0.0	1.0	NA	EXOC7	NA	NA
ENSG00000100567	5.838066251429158e-05	5.838066251429158e-05	5.867931108837944e-05	6.780974350365451e-06	2.057416365106273e-05	5.867931108837944e-05	0.5424	0.79391	0.55315	0.0	1.0	58257979	PSMA3	0.48193569	0.0027920000000000167
